T,D_bulk,D_eff,tau_diff,tau_wait,ratio
300.0,1.1603932070171586e-19,2.320786414034317e-19,4.308884238345999,3.496503496503496e-06,1232340.8921669559
310.0,3.28852946444732e-19,6.57705892889464e-19,1.5204364303423734,3.496503496503496e-06,434844.81907791883
320.0,8.732196741136477e-19,1.7464393482272954e-18,0.572593603674264,3.496503496503496e-06,163761.77065083952
330.0,2.1854503110475678e-18,4.3709006220951355e-18,0.22878580101888998,3.496503496503496e-06,65432.73909140254
340.0,5.182293936720284e-18,1.0364587873440568e-17,0.09648236979711629,3.496503496503496e-06,27593.95776197526
350.0,1.1697031409655409e-17,2.3394062819310817e-17,0.042745888464253506,3.496503496503496e-06,12225.324100776505
360.0,2.5234075753800668e-17,5.0468151507601336e-17,0.019814476459463423,3.496503496503496e-06,5666.9402674065395
370.0,5.2221562893145235e-17,1.0444312578629047e-16,0.009574588968604606,3.496503496503496e-06,2738.332445020918
380.0,1.0401308747369605e-16,2.080261749473921e-16,0.004807087378561331,3.496503496503496e-06,1374.8269902685408
390.0,1.9997723802737664e-16,3.999544760547533e-16,0.0025002845570431904,3.496503496503496e-06,715.0813833143525
400.0,3.721161464583571e-16,7.442322929167142e-16,0.0013436664997173247,3.496503496503496e-06,384.2886189191549
410.0,6.717697853099314e-16,1.3435395706198629e-15,0.0007443026032635827,3.496503496503496e-06,212.87054453338467
420.0,1.1790877693102737e-15,2.3581755386205473e-15,0.0004240566419347078,3.496503496503496e-06,121.28019959332643
430.0,2.016080262923829e-15,4.032160525847658e-15,0.0002480059991633829,3.496503496503496e-06,70.92971576072752
440.0,3.364188594209332e-15,6.728377188418664e-15,0.00014862424801648566,3.496503496503496e-06,42.50653493271491
450.0,5.487438010649589e-15,1.0974876021299179e-14,9.111720242299581e-05,3.496503496503496e-06,26.0595198929768
