T,D_bulk,D_eff,tau_diff,tau_wait,ratio
300.0,1.1603932070171586e-19,2.320786414034317e-19,107.72210595864998,3.4965034965034963e-09,30808522304.173893
310.0,3.28852946444732e-19,6.57705892889464e-19,38.01091075855933,3.4965034965034963e-09,10871120476.94797
320.0,8.732196741136477e-19,1.7464393482272954e-18,14.314840091856603,3.4965034965034963e-09,4094044266.2709885
330.0,2.1854503110475678e-18,4.3709006220951355e-18,5.719645025472249,3.4965034965034963e-09,1635818477.2850633
340.0,5.182293936720284e-18,1.0364587873440568e-17,2.4120592449279075,3.4965034965034963e-09,689848944.0493816
350.0,1.1697031409655409e-17,2.3394062819310817e-17,1.0686472116063377,3.4965034965034963e-09,305633102.5194126
360.0,2.5234075753800668e-17,5.0468151507601336e-17,0.49536191148658554,3.4965034965034963e-09,141673506.68516347
370.0,5.2221562893145235e-17,1.0444312578629047e-16,0.23936472421511518,3.4965034965034963e-09,68458311.12552294
380.0,1.0401308747369605e-16,2.080261749473921e-16,0.1201771844640333,3.4965034965034963e-09,34370674.756713524
390.0,1.9997723802737664e-16,3.999544760547533e-16,0.06250711392607976,3.4965034965034963e-09,17877034.582858812
400.0,3.721161464583571e-16,7.442322929167142e-16,0.03359166249293312,3.4965034965034963e-09,9607215.472978873
410.0,6.717697853099314e-16,1.3435395706198629e-15,0.018607565081589568,3.4965034965034963e-09,5321763.613334617
420.0,1.1790877693102737e-15,2.3581755386205473e-15,0.010601416048367694,3.4965034965034963e-09,3032004.989833161
430.0,2.016080262923829e-15,4.032160525847658e-15,0.006200149979084574,3.4965034965034963e-09,1773242.8940181884
440.0,3.364188594209332e-15,6.728377188418664e-15,0.003715606200412142,3.4965034965034963e-09,1062663.3733178726
450.0,5.487438010649589e-15,1.0974876021299179e-14,0.002277930060574895,3.4965034965034963e-09,651487.99732442
